Unnamed: 0,Viatamin B,Diclofenac,Amlodipin,Azithromicin,Fluconazole,Levo Citrizin,Metformin,Metronidazole,Ofloxacin,Paracitamole
Nagpur,0,0,0,0,0,0,0,0,0,0
Cuttak,0,0,0,0,0,0,0,0,0,0
Kolkata,0,0,0,0,0,0,0,0,0,0
Bhubaneshwar,0,0,0,0,0,0,0,0,0,0
Noida,0,0,0,0,0,0,0,0,0,0
Bhubaneshwar,0,0,0,0,0,0,0,0,0,0
Noida,0,0,0,0,0,0,0,0,0,0
Bhubaneshwar,0,0,0,0,0,0,0,0,0,0
Cuttak,0,0,0,0,0,0,0,0,0,0
Cuttak,0,0,0,0,0,0,0,0,0,0
Mayurbhanj,0,0,0,0,0,0,0,0,0,0
Bhadrak,0,0,0,0,0,0,0,0,0,0
Baripada - DHH,3000,6000,0,0,0,0,0,6000,0,20000
Badasahi,40000,0,0,0,2000,18000,0,0,0,40000
Bahalda,0,0,0,0,0,0,0,2000,0,15000
Bangiriposi,10000,9000,8820,4000,4000,4800,0,10000,0,20000
Badampahar,100000,9900,50400,0,5000,0,50000,20000,0,50000
Betnoti,20000,0,10080,10000,2000,4800,0,20000,5000,40000
Bijatola,0,6000,0,4800,0,0,0,0,0,10000
Dukura,0,0,0,0,0,0,0,0,0,20000
Gorumahisani,2000,0,6300,0,2000,4800,0,0,0,5000
Jamda,15000,9000,3780,4000,0,7800,0,5000,10000,10000
Jamukeswar,0,0,0,0,0,0,0,0,0,5000
Jashipur,20000,0,12600,0,0,0,0,0,0,20000
Jharadihi,2000,1800,6300,2000,1000,900,5000,1000,0,5000
Kaptipada,20000,0,0,0,2000,0,0,0,0,20000
Karanjia SDH,30000,0,18900,13000,0,0,0,0,0,20000
Khunta,10000,0,8820,0,0,0,0,20000,0,10000
Kisantandi CHC,12000,0,8820,0,0,9900,0,10000,0,20000
Kostha CHC,0,9000,3780,5000,0,15000,6000,10000,0,20000
Krushna Chandra Pur CHC,10000,6000,5040,0,0,4800,3000,2000,0,10000
Kuliana,5000,9000,8820,0,0,0,5000,10000,0,20000
Manada,0,0,7560,0,0,0,0,0,0,5000
Rairangapur SDH,40000,4800,8820,14000,0,4800,3000,5000,10000,30000
Rangamatia,8000,3000,6300,0,300,0,7000,0,0,5000
Raruan,0,0,0,0,0,0,0,0,0,5000
Rasgovinda Pur,10000,0,0,0,0,9000,0,10000,0,10000
Sirsa,8000,0,8820,0,0,0,0,20000,5000,20000
Sriram Ch.Pur,5000,0,0,0,0,4800,0,0,0,10000
Sukruli,0,0,0,0,0,0,0,0,0,5000
Tato,10000,0,8820,2000,0,0,0,0,0,20000
Thakurmunda,10000,0,0,5250,0,0,0,0,0,20000
Tiringi,0,0,0,0,0,0,0,10000,5000,5000
Udala SDH,20000,3900,0,0,0,0,0,0,0,5000
Murgabadi uphc,0,0,0,0,0,0,0,0,0,5000
AGARPADA,0,0,0,10000,0,10000,0,0,8000,20000
BARAPADA,0,0,5000,5000,600,15000,0,0,5000,20000
BASUDEVPUR,0,0,0,0,0,0,0,0,5000,30000
Bhadrak - DHH,150000,2500,5000,31250,0,91000,20000,10000,0,128600
BHANDARI POKHARI,15000,0,0,3000,1000,15000,5000,0,15000,20000
CHANDABALI,0,0,5000,16750,1000,10000,0,0,5000,50000
DHAMNAGAR,5000,30000,5000,16250,0,10000,0,0,5000,30000
TIHIDI,0,0,5000,5000,0,15000,0,0,0,30000
